"","Time..CST.","Temp.","Dew.Point","Humidity","Pressure","Visibility","Wind.Dir","Wind.Speed","Gust.Speed","Precip","Events","Conditions"
"1","12:00 AM","60.8","42.8","52","29.80","4.3","Variable","2.2","-","N/A","","Clear"
"2","12:30 AM","59.0","42.8","55","29.80","4.3","Calm","","-","N/A","","Clear"
"3","1:00 AM","55.4","46.4","72","29.80","4.3","Variable","2.2","-","N/A","","Clear"
"4","1:30 AM","55.4","42.8","63","29.77","4.3","North","4.5","-","N/A","","Clear"
"5","2:00 AM","60","42","41","29.76","7","NNE","2.2","-","-","","Clear"
"6","2:00 AM","55.4","42.8","63","29.77","4.3","North","6.7","-","N/A","","Clear"
"7","2:30 AM","55.4","42.8","63","29.77","4.3","North","6.7","-","N/A","","Clear"
"8","3:00 AM","57.2","42.8","59","29.77","3.7","North","4.5","-","N/A","","Clear"
"9","3:30 AM","55.4","42.8","63","29.77","3.7","North","2.2","-","N/A","","Clear"
"10","4:00 AM","57.2","42.8","59","29.74","3.1","Variable","2.2","-","N/A","","Haze"
"11","4:30 AM","57.2","42.8","59","29.74","3.1","Variable","2.2","-","N/A","","Haze"
"12","5:00 AM","55","42","52","29.73","7","ENE","2.2","-","-","","Clear"
"13","5:00 AM","57.2","44.6","63","29.74","2.8","Variable","2.2","-","N/A","","Haze"
"14","5:30 AM","50.0","42.8","76","29.74","2.5","NNE","4.5","-","N/A","","Haze"
"15","6:00 AM","51.8","44.6","76","29.74","2.5","North","4.5","-","N/A","","Haze"
"16","6:30 AM","51.8","42.8","71","29.74","2.5","North","2.2","-","N/A","","Haze"
"17","7:00 AM","53.6","46.4","77","29.74","2.5","North","4.5","-","N/A","","Haze"
"18","7:30 AM","59.0","44.6","59","29.74","2.5","North","4.5","-","N/A","","Haze"
"19","8:00 AM","64","44","37","29.73","7","West","2.2","-","-","","Clear"
"20","8:00 AM","62.6","44.6","52","29.74","2.8","North","6.7","-","N/A","","Haze"
"21","8:30 AM","64.4","44.6","49","29.74","2.8","NNW","6.7","-","N/A","","Haze"
"22","9:00 AM","66.2","44.6","46","29.74","2.8","North","6.7","-","N/A","","Haze"
"23","9:30 AM","69.8","41.0","35","29.74","3.1","NNW","4.5","-","N/A","","Haze"
"24","10:00 AM","75.2","37.4","25","29.71","3.1","NW","8.9","-","N/A","","Haze"
"25","10:30 AM","77.0","30.2","18","29.71","5.0","NW","11.2","-","N/A","","Clear"
"26","11:00 AM","79","24","6","29.69","9","WNW","6.7","-","-","","Clear"
"27","11:00 AM","80.6","24.8","13","29.68","","WNW","13.4","24.6 mph","N/A","","Clear"
"28","11:30 AM","82.4","23.0","11","29.65","","WNW","11.2","22.4 mph","N/A","","Clear"
"29","12:00 PM","82.4","21.2","10","29.65","","WNW","17.9","-","N/A","","Clear"
"30","12:30 PM","84.2","21.2","10","29.62","","WNW","13.4","29.1 mph","N/A","","Clear"
"31","1:00 PM","84.2","21.2","10","29.62","","West","20.1","-","N/A","","Clear"
"32","1:30 PM","86.0","23.0","10","29.59","","WSW","13.4","-","N/A","","Clear"
"33","2:00 PM","85","17","4","29.58","19","WNW","8.9","-","-","","Scattered Clouds"
"34","2:00 PM","84.2","23.0","11","29.56","","West","6.7","-","N/A","","Clear"
"35","2:30 PM","86.0","21.2","9","29.56","","NW","26.8","44.7 mph","N/A","","Clear"
"36","3:00 PM","87.8","23.0","9","29.56","","Variable","4.5","-","N/A","","Clear"
"37","3:30 PM","86.0","26.6","12","29.53","","ENE","6.7","20.1 mph","N/A","","Clear"
"38","4:00 PM","87.8","23.0","9","29.53","","WNW","17.9","-","N/A","","Clear"
"39","4:30 PM","86.0","21.2","9","29.53","","WNW","15.7","26.8 mph","N/A","","Clear"
"40","5:00 PM","86","18","4","29.52","19","NW","6.7","-","-","","Scattered Clouds"
"41","5:00 PM","86.0","21.2","9","29.53","","WNW","15.7","-","N/A","","Clear"
"42","5:30 PM","86.0","21.2","9","29.53","","WNW","13.4","24.6 mph","N/A","","Clear"
"43","6:00 PM","86.0","23.0","10","29.53","","WNW","8.9","-","N/A","","Clear"
"44","6:30 PM","84.2","21.2","10","29.53","","NW","8.9","-","N/A","","Clear"
"45","7:00 PM","82.4","21.2","10","29.53","","Variable","6.7","-","N/A","","Clear"
"46","7:30 PM","78.8","28.4","16","29.53","","SW","13.4","-","N/A","","Clear"
"47","8:00 PM","76","28","9","29.55","16","SW","4.5","-","-","","Scattered Clouds"
"48","8:00 PM","78.8","32.0","18","29.56","","SW","13.4","-","N/A","","Clear"
"49","8:30 PM","77.0","32.0","19","29.56","","SSW","11.2","-","N/A","","Clear"
"50","9:00 PM","77.0","30.2","18","29.56","","SSW","11.2","-","N/A","","Clear"
"51","9:30 PM","77.0","30.2","18","29.56","","SW","11.2","-","N/A","","Clear"
"52","10:00 PM","77.0","32.0","19","29.56","","SW","13.4","-","N/A","","Clear"
"53","10:30 PM","75.2","33.8","22","29.56","","SSW","13.4","-","N/A","","Clear"
"54","11:00 PM","74","35","14","29.54","16","SW","8.9","-","-","","Clear"
"55","11:00 PM","75.2","33.8","22","29.56","","West","6.7","-","N/A","","Clear"
"56","11:30 PM","73.4","32.0","22","29.56","","NW","8.9","-","N/A","","Clear"
