"","Time..CST.","Temp.","Heat.Index","Dew.Point","Humidity","Pressure","Visibility","Wind.Dir","Wind.Speed","Gust.Speed","Precip","Events","Conditions"
"1","12:00 AM","73.4","-","69.8","88","29.39","","NW","4.5","-","N/A","","Clear"
"2","12:30 AM","73.4","-","69.8","88","29.39","","West","6.7","-","N/A","","Clear"
"3","1:00 AM","73.4","-","69.8","88","29.39","","West","6.7","-","N/A","","Clear"
"4","1:30 AM","73.4","-","69.8","88","29.36","","West","6.7","-","N/A","","Clear"
"5","2:00 AM","72","-","70","91","29.36","5","WSW","6.7","-","-","","Mist"
"6","2:00 AM","73.4","-","69.8","88","29.36","","WNW","4.5","-","N/A","","Clear"
"7","2:30 AM","73.4","-","69.8","88","29.36","","Variable","2.2","-","N/A","","Clear"
"8","3:00 AM","71.6","-","69.8","94","29.36","4.3","East","4.5","-","N/A","","Unknown"
"9","3:30 AM","69.8","-","69.8","100","29.36","2.5","ESE","4.5","-","N/A","","Mist"
"10","4:00 AM","69.8","-","69.8","100","29.36","2.2","East","4.5","-","N/A","","Mist"
"11","4:30 AM","69.8","-","69.8","100","29.36","","Variable","2.2","-","N/A","","Mist"
"12","5:00 AM","71","-","70","95","29.36","5","Calm","","-","-","","Mist"
"13","5:00 AM","69.8","-","69.8","100","29.36","1.2","ESE","4.5","-","N/A","","Mist"
"14","5:30 AM","69.8","-","69.8","100","29.39","0.7","East","2.2","-","N/A","","Scattered Clouds"
"15","6:00 AM","69.8","-","69.8","100","29.39","0.6","Variable","2.2","-","N/A","Fog","Fog"
"16","6:30 AM","69.8","-","69.8","100","29.39","0.4","ENE","4.5","-","N/A","Fog","Fog"
"17","7:00 AM","69.8","-","69.8","100","29.39","1.1","ENE","4.5","-","N/A","","Mostly Cloudy"
"18","7:30 AM","71.6","-","69.8","94","29.39","1.6","East","4.5","-","N/A","","Scattered Clouds"
"19","8:00 AM","72","-","71","94","29.37","4","ENE","4.5","-","-","","Mist"
"20","8:00 AM","71.6","-","71.6","100","29.39","2.2","ENE","4.5","-","N/A","","Mostly Cloudy"
"21","8:30 AM","73.4","-","69.8","88","29.39","2.5","Variable","2.2","-","N/A","","Mostly Cloudy"
"22","9:00 AM","75.2","-","71.6","89","29.39","2.8","Variable","4.5","-","N/A","","Mostly Cloudy"
"23","9:30 AM","77.0","-","71.6","83","29.39","2.8","Variable","2.2","-","N/A","","Scattered Clouds"
"24","10:00 AM","78.8","-","73.4","83","29.39","3.1","SE","4.5","-","N/A","","Partly Cloudy"
"25","10:30 AM","78.8","-","71.6","78","29.39","3.7","Variable","2.2","-","N/A","","Partly Cloudy"
"26","11:00 AM","81","-","72","66","29.36","5","North","4.5","-","-","","Mist"
"27","11:00 AM","80.6","84.6ʡF","71.6","74","29.36","3.7","Variable","2.2","-","N/A","","Partly Cloudy"
"28","11:30 AM","82.4","88.2ʡF","73.4","74","29.36","4.3","Variable","2.2","-","N/A","","Unknown"
"29","12:00 PM","82.4","88.2ʡF","73.4","74","29.36","4.3","South","6.7","-","N/A","","Unknown"
"30","12:30 PM","84.2","90.9ʡF","73.4","70","29.36","4.3","Variable","4.5","-","N/A","","Unknown"
"31","1:00 PM","86.0","95.1ʡF","75.2","70","29.33","4.3","South","4.5","-","N/A","","Unknown"
"32","1:30 PM","86.0","91.8ʡF","71.6","62","29.33","3.7","Variable","4.5","-","N/A","","Unknown"
"33","2:00 PM","88","-","72","51","29.32","7","SW","4.5","-","-","","Partly Cloudy"
"34","2:00 PM","84.2","90.9ʡF","73.4","70","29.36","3.7","ENE","4.5","-","N/A","","Unknown"
"35","2:30 PM","84.2","89.6ʡF","71.6","66","29.33","3.7","Variable","2.2","-","N/A","","Partly Cloudy"
"36","3:00 PM","84.2","88.4ʡF","69.8","62","29.33","4.3","WNW","4.5","-","N/A","","Partly Cloudy"
"37","3:30 PM","87.8","93.8ʡF","71.6","58","29.33","4.3","South","4.5","-","N/A","","Unknown"
"38","4:00 PM","87.8","95.6ʡF","73.4","62","29.33","4.3","ENE","6.7","-","N/A","","Unknown"
"39","4:30 PM","87.8","95.6ʡF","73.4","62","29.33","4.3","SE","4.5","-","N/A","","Unknown"
"40","5:00 PM","90","-","73","48","29.31","11","SW","2.2","-","-","","Clear"
"41","5:00 PM","87.8","95.6ʡF","73.4","62","29.33","4.3","SE","4.5","-","N/A","","Unknown"
"42","5:30 PM","86.0","93.4ʡF","73.4","66","29.36","3.7","ENE","6.7","-","N/A","","Scattered Clouds"
"43","6:00 PM","84.2","92.3ʡF","75.2","74","29.36","5.0","NE","11.2","-","N/A","","Scattered Clouds"
"44","6:30 PM","78.8","-","75.2","89","29.39","5.0","NNE","6.7","-","N/A","Rain
	,
Thunderstorm","Light Thunderstorms and Rain"
"45","7:00 PM","77.0","-","75.2","94","29.39","6.2","North","8.9","-","N/A","","Mostly Cloudy"
"46","7:30 PM","77.0","-","73.4","89","29.39","6.2","North","8.9","-","N/A","","Mostly Cloudy"
"47","8:00 PM","85","-","72","58","29.37","9","NNE","4.5","-","-","","Clear"
"48","8:00 PM","75.2","-","73.4","94","29.39","","North","6.7","-","N/A","","Clear"
"49","8:30 PM","75.2","-","71.6","89","29.39","","NW","6.7","-","N/A","","Clear"
"50","9:00 PM","77.0","-","71.6","83","29.39","","North","6.7","-","N/A","","Clear"
"51","9:30 PM","73.4","-","71.6","94","29.39","","North","4.5","-","N/A","","Clear"
"52","10:00 PM","73.4","-","71.6","94","29.42","","NNE","4.5","-","N/A","","Clear"
"53","10:30 PM","75.2","-","71.6","89","29.42","","NNE","4.5","-","N/A","","Clear"
"54","11:00 PM","73.4","-","71.6","94","29.42","","North","4.5","-","N/A","","Clear"
"55","11:30 PM","73.4","-","69.8","88","29.42","","North","4.5","-","N/A","","Clear"
