"","Time..CST.","Temp.","Windchill","Dew.Point","Humidity","Pressure","Visibility","Wind.Dir","Wind.Speed","Gust.Speed","Precip","Events","Conditions"
"1","12:00 AM","57.2","-","51.8","82","30.09","3.1","Variable","2.2","-","N/A","","Mist"
"2","12:30 AM","57.2","-","51.8","82","30.09","3.7","NNE","2.2","-","N/A","","Unknown"
"3","1:00 AM","55.4","-","50.0","82","30.09","3.7","North","4.5","-","N/A","Rain","Light Rain"
"4","1:30 AM","55.4","-","50.0","82","30.09","3.7","North","4.5","-","N/A","","Unknown"
"5","2:00 AM","57","-","55","92","30.12","","WSW","2.2","-","-","",""
"6","2:00 AM","57.2","-","50.0","77","30.12","3.7","NNE","4.5","-","N/A","Rain","Light Rain"
"7","2:30 AM","55.4","-","50.0","82","30.12","4.3","North","4.5","-","N/A","Rain","Light Rain"
"8","3:00 AM","55.4","-","50.0","82","30.12","5.0","North","4.5","-","N/A","","Unknown"
"9","3:30 AM","55.4","-","50.0","82","30.12","","North","6.7","-","N/A","","Clear"
"10","4:00 AM","55.4","-","50.0","82","30.12","","North","2.2","-","N/A","","Clear"
"11","4:30 AM","55.4","-","50.0","82","30.15","","North","4.5","-","N/A","","Clear"
"12","5:00 AM","56","-","55","95","30.16","","WNW","2.2","-","-","",""
"13","5:00 AM","57.2","-","50.0","77","30.15","","WNW","2.2","-","N/A","","Clear"
"14","5:30 AM","55.4","-","48.2","77","30.15","","North","2.2","-","N/A","","Clear"
"15","6:00 AM","55.4","-","50.0","82","30.18","","North","4.5","-","N/A","","Clear"
"16","6:30 AM","55.4","-","48.2","77","30.18","","North","6.7","-","N/A","","Clear"
"17","7:00 AM","59.0","-","42.8","55","30.21","","NNE","8.9","-","N/A","","Clear"
"18","7:30 AM","59.0","-","37.4","45","30.24","","NNE","11.2","-","N/A","","Clear"
"19","8:00 AM","59.0","-","33.8","39","30.24","","NNE","15.7","-","N/A","","Clear"
"20","8:30 AM","59.0","-","32.0","36","30.27","","NNE","15.7","-","N/A","","Clear"
"21","9:00 AM","59.0","-","28.4","31","30.30","","NNE","13.4","-","N/A","","Clear"
"22","9:30 AM","59.0","-","28.4","31","30.30","","NNE","13.4","26.8 mph","N/A","","Clear"
"23","10:00 AM","59.0","-","23.0","25","30.30","","NE","15.7","-","N/A","","Clear"
"24","10:30 AM","59.0","-","24.8","27","30.33","","NNE","15.7","26.8 mph","N/A","","Clear"
"25","11:00 AM","57.2","-","21.2","25","30.33","","NNE","17.9","-","N/A","","Clear"
"26","11:30 AM","57.2","-","21.2","25","30.33","","NNE","15.7","26.8 mph","N/A","","Clear"
"27","12:00 PM","57.2","-","23.0","27","30.36","","NNE","15.7","-","N/A","","Clear"
"28","12:30 PM","57.2","-","23.0","27","30.33","","NNE","11.2","-","N/A","","Clear"
"29","1:00 PM","57.2","-","23.0","27","30.33","","NNE","11.2","-","N/A","","Clear"
"30","1:30 PM","57.2","-","21.2","25","30.36","","NE","15.7","26.8 mph","N/A","","Clear"
"31","2:00 PM","57","-","27","20","30.36","19","NE","8.9","-","-","","Mostly Cloudy"
"32","2:00 PM","57.2","-","21.2","25","30.36","","NE","15.7","26.8 mph","N/A","","Clear"
"33","2:30 PM","57.2","-","19.4","23","30.36","","NE","13.4","-","N/A","","Clear"
"34","3:00 PM","57.2","-","19.4","23","30.36","","NE","13.4","-","N/A","","Clear"
"35","3:30 PM","57.2","-","19.4","23","30.36","","NE","11.2","-","N/A","","Clear"
"36","4:00 PM","57.2","-","19.4","23","30.36","","NE","8.9","-","N/A","","Clear"
"37","4:30 PM","57.2","-","17.6","21","30.39","","NE","6.7","-","N/A","","Clear"
"38","5:00 PM","55.4","-","19.4","25","30.39","","NE","4.5","-","N/A","","Clear"
"39","5:30 PM","53.6","-","17.6","24","30.39","","NE","6.7","-","N/A","","Clear"
"40","6:00 PM","51.8","-","19.4","28","30.39","","Variable","2.2","-","N/A","","Clear"
"41","6:30 PM","48.2","-","24.8","40","30.42","","Variable","2.2","-","N/A","","Clear"
"42","7:00 PM","46.4","-","26.6","46","30.42","","Variable","2.2","-","N/A","","Clear"
"43","7:30 PM","44.6","-","30.2","57","30.45","","East","2.2","-","N/A","","Clear"
"44","8:00 PM","46","-","33","49","30.47","12","WNW","2.2","-","-","","Scattered Clouds"
"45","8:00 PM","42.8","-","30.2","61","30.45","","Variable","2.2","-","N/A","","Clear"
"46","8:30 PM","42.8","-","32.0","66","30.48","","Calm","","-","N/A","","Clear"
"47","9:00 PM","41.0","-","30.2","65","30.48","","Variable","2.2","-","N/A","","Clear"
"48","9:30 PM","41.0","35.4 °F","24.8","53","30.51","","North","8.9","-","N/A","","Clear"
"49","10:00 PM","42.8","40.2 °F","23.0","46","30.51","","North","4.5","-","N/A","","Clear"
"50","10:30 PM","41.0","36.5 °F","23.0","49","30.51","","North","6.7","-","N/A","","Clear"
"51","11:00 PM","41.0","38.1 °F","26.6","57","30.51","","North","4.5","-","N/A","","Clear"
"52","11:30 PM","42.8","40.2 °F","23.0","46","30.51","","North","4.5","-","N/A","","Clear"
